id,credit,delayed,amount,gender,education,age,marital,default
25780,180000,2,699,Female,graduate school,39,married,1
7679,50000,0,15925,Female,graduate school,25,single,0
19690,210000,1,0,Male,univeristy,35,single,0
906,50000,0,26889,Female,univeristy,38,married,0
191,50000,4,276076,Female,univeristy,24,single,0
6396,200000,0,0,Female,univeristy,26,single,0
24289,310000,0,0,Male,univeristy,30,single,0
21248,350000,3,134408,Female,univeristy,34,married,0
17610,140000,0,684372,Female,univeristy,24,single,1
2503,50000,0,279381,Male,highschool,26,single,0
18641,450000,1,0,Female,highschool,56,married,1
621,360000,3,278364,Female,univeristy,44,married,0
20509,20000,0,77528,Male,highschool,35,single,0
7167,110000,0,104973,Female,univeristy,51,single,0
8886,220000,0,1504,Female,univeristy,47,single,0
6830,80000,2,293064,Female,univeristy,41,married,0
28003,360000,0,195029,Male,univeristy,34,married,0
11679,390000,0,764871,Female,highschool,28,married,1
27392,50000,0,199294,Female,univeristy,33,married,0
16387,360000,0,0,Female,highschool,50,married,1
1584,330000,1,75159,Female,univeristy,33,single,0
7963,200000,1,0,Female,univeristy,29,single,1
20966,360000,0,0,Male,graduate school,29,single,0
17061,210000,0,0,Male,graduate school,49,married,0
3048,50000,0,181772,Female,univeristy,28,single,0
7655,150000,0,1488,Female,graduate school,24,single,0
6444,50000,0,226658,Male,highschool,25,single,0
610,160000,7,412754,Female,univeristy,34,married,0
10311,50000,10,186517,Male,univeristy,25,single,1
20885,320000,0,921278,Female,univeristy,37,married,0
20350,300000,0,0,Male,graduate school,45,married,1
1418,140000,0,594042,Male,graduate school,27,single,0
2427,80000,0,390,Female,univeristy,49,single,1
16936,390000,0,903230,Female,univeristy,37,married,0
18967,10000,1,0,Female,highschool,33,married,0
14991,200000,0,0,Female,graduate school,34,married,1
3442,200000,0,150588,Female,univeristy,25,single,0
739,30000,2,167774,Male,univeristy,42,married,0
19011,350000,2,925337,Female,graduate school,31,single,0
3625,340000,0,0,Male,graduate school,41,married,0
10371,50000,0,94753,Female,univeristy,23,single,0
27544,20000,11,71886,Male,graduate school,39,single,1
22111,90000,0,406015,Female,highschool,37,married,0
2223,300000,0,14202,Male,graduate school,55,married,0
6037,360000,1,0,Male,graduate school,34,married,1
3648,210000,0,0,Female,graduate school,38,married,0
3857,210000,1,0,Female,graduate school,40,married,0
20291,180000,0,454726,Female,univeristy,37,married,0
3793,200000,0,0,Female,graduate school,30,single,0
25329,50000,12,39317,Male,graduate school,27,single,1
20018,380000,0,367217,Female,graduate school,31,single,0
11990,210000,0,3588,Female,graduate school,28,single,0
20926,50000,12,270170,Female,univeristy,34,married,0
7994,140000,0,1454440,Female,univeristy,48,married,0
24895,20000,2,41456,Female,univeristy,43,single,1
8039,210000,0,0,Female,univeristy,32,married,0
9555,110000,6,616099,Female,univeristy,33,married,0
26215,360000,0,0,Female,graduate school,43,married,0
25634,20000,0,292,Female,graduate school,23,single,0
27812,230000,0,0,Male,graduate school,35,married,0
14646,260000,0,0,Female,graduate school,36,single,0
19105,50000,0,220663,Male,univeristy,33,single,1
18212,50000,0,12650,Male,graduate school,38,married,0
9507,20000,0,87532,Male,univeristy,38,married,1
696,100000,2,390,Female,univeristy,56,single,0
23489,260000,0,184929,Female,graduate school,29,single,0
22061,50000,2,171376,Female,graduate school,35,single,0
25308,130000,1,0,Female,highschool,42,married,0
654,60000,8,267539,Male,graduate school,38,married,1
25473,260000,0,32459,Male,univeristy,32,single,0
10657,120000,0,505,Female,graduate school,37,married,0
8581,200000,0,422038,Male,highschool,44,married,0
489,360000,1,0,Male,univeristy,41,married,1
9337,150000,0,578148,Female,univeristy,23,single,0
1106,230000,0,378679,Female,univeristy,45,married,0
6091,140000,0,586683,Male,univeristy,46,married,1
24321,170000,1,0,Female,highschool,61,married,0
3232,300000,2,0,Female,graduate school,30,single,1
1879,100000,11,167474,Female,graduate school,58,married,1
16942,210000,0,171244,Male,univeristy,29,single,0
10372,140000,0,703287,Female,graduate school,27,single,0
11203,70000,0,158836,Female,univeristy,26,single,0
21291,360000,0,0,Male,highschool,49,single,0
23569,340000,0,1450879,Female,univeristy,52,married,0
27577,220000,0,202,Female,graduate school,28,single,0
26048,240000,10,1158173,Female,univeristy,28,married,1
5272,200000,4,914593,Female,univeristy,27,single,0
22953,210000,0,279572,Female,graduate school,35,married,0
861,160000,2,53540,Female,highschool,26,single,0
5158,390000,1,0,Male,graduate school,47,single,0
20835,130000,0,2316,Female,univeristy,40,married,0
22640,10000,7,31610,Female,univeristy,26,married,1
23293,300000,0,11730,Female,graduate school,34,single,0
10356,50000,2,160792,Female,graduate school,28,single,0
21625,60000,12,257200,Female,univeristy,37,married,1
1372,50000,0,122027,Female,graduate school,23,single,1
7194,160000,0,224735,Female,graduate school,34,single,0
20640,150000,0,564897,Male,univeristy,29,single,0
18347,90000,7,800,Male,highschool,35,married,0
17327,220000,1,0,Female,graduate school,56,married,0
24761,140000,2,117650,Male,univeristy,25,single,0
1412,310000,0,7166,Female,univeristy,42,married,0
16954,10000,0,38795,Female,highschool,36,single,0
9304,50000,0,155386,Female,univeristy,34,married,0
13459,30000,12,87376,Male,graduate school,35,single,0
13148,200000,0,0,Female,univeristy,31,married,0
15654,360000,0,7,Female,graduate school,48,married,0
28450,120000,0,0,Male,univeristy,48,married,0
15340,210000,2,523518,Female,univeristy,32,single,0
19311,50000,5,167401,Female,graduate school,61,single,1
13446,80000,0,273463,Female,graduate school,30,single,0
3607,80000,0,284014,Female,highschool,42,single,0
15368,200000,1,0,Male,graduate school,30,single,0
2108,230000,0,28990,Female,highschool,26,single,0
17591,50000,8,105992,Male,univeristy,33,single,0
22809,50000,0,35456,Female,graduate school,38,married,1
13533,90000,0,1944,Female,graduate school,28,single,0
3044,170000,0,308,Male,graduate school,48,single,0
13733,90000,4,436110,Female,univeristy,30,single,1
10483,50000,0,260364,Female,highschool,42,married,1
26941,170000,0,816,Female,graduate school,38,single,0
21086,350000,0,3232,Female,graduate school,36,single,0
19222,160000,0,0,Female,highschool,47,single,0
12199,220000,0,704675,Male,highschool,41,single,0
28693,300000,0,835,Male,graduate school,30,single,0
12169,30000,6,102384,Female,univeristy,34,married,1
15165,60000,16,48140,Female,highschool,34,married,0
3781,50000,0,180201,Female,univeristy,22,single,0
15971,110000,10,165472,Female,univeristy,42,married,0
7752,300000,0,53448,Female,univeristy,24,single,0
14363,290000,0,40460,Female,univeristy,35,married,0
11594,100000,2,613689,Female,univeristy,24,single,0
26401,90000,4,0,Female,graduate school,27,single,0
4175,120000,2,35679,Female,univeristy,41,married,0
9854,160000,0,329430,Female,univeristy,27,single,0
25039,300000,3,141400,Female,graduate school,37,single,0
26628,130000,0,288,Male,highschool,39,married,0
23095,50000,0,221000,Female,graduate school,39,single,0
4890,250000,0,0,Female,univeristy,52,married,1
6371,50000,0,130541,Female,univeristy,24,single,0
15487,230000,3,1303042,Female,highschool,36,married,0
21916,160000,0,680,Male,univeristy,30,single,0
21517,390000,6,2231357,Female,graduate school,27,single,1
18339,30000,0,160144,Male,univeristy,34,single,0
1223,50000,0,5058,Female,graduate school,29,single,1
12768,500000,0,1781470,Male,graduate school,50,married,0
960,20000,2,27462,Male,highschool,40,single,1
20427,390000,0,0,Male,univeristy,34,married,0
9769,500000,2,450,Female,graduate school,38,married,0
14658,110000,0,229174,Female,highschool,46,single,0
25709,360000,1,0,Female,graduate school,28,married,0
19376,30000,0,184635,Female,univeristy,23,single,0
2754,110000,0,475510,Female,univeristy,33,single,1
13037,50000,0,289221,Female,univeristy,47,single,1
28602,260000,0,0,Female,highschool,38,married,0
12969,210000,0,610648,Male,univeristy,33,married,1
8272,50000,6,220842,Female,univeristy,46,single,0
7866,20000,0,69832,Male,univeristy,49,single,1
3977,180000,0,267843,Female,univeristy,31,single,0
498,70000,0,75437,Male,highschool,53,single,0
3426,30000,2,149783,Female,univeristy,30,married,1
28454,160000,0,2337,Female,highschool,53,married,0
6606,240000,0,0,Female,graduate school,38,married,0
8749,490000,0,0,Male,graduate school,54,married,1
7554,50000,0,173905,Female,univeristy,24,married,0
21307,240000,0,0,Female,graduate school,53,married,0
27539,50000,1,0,Female,graduate school,35,married,0
18482,60000,0,116533,Male,highschool,24,single,0
27112,220000,0,523153,Male,graduate school,30,single,0
3506,130000,0,760126,Male,highschool,28,single,0
2680,50000,4,50525,Female,highschool,57,single,1
12850,30000,5,103707,Male,highschool,41,married,0
2162,50000,13,250155,Female,graduate school,25,single,1
24618,50000,0,81192,Male,univeristy,39,single,0
12175,280000,0,3346,Male,graduate school,40,married,0
25857,80000,1,0,Female,univeristy,60,married,1
27242,80000,2,0,Female,highschool,47,married,1
23979,50000,0,6405,Female,univeristy,38,married,0
9289,20000,2,93155,Female,graduate school,25,single,0
14405,80000,1,0,Male,highschool,27,single,0
371,80000,8,445695,Male,graduate school,39,single,1
19381,50000,6,122127,Female,graduate school,30,single,0
21914,270000,0,267516,Male,univeristy,40,married,1
